date,all time high,all time high year,lowest high,lowest high year,highest low,highest low year,all time low,all time low year
03-19,82.0,2017,19.0,1965,45.0,1994,-2.0,1965
03-20,82.0,2017,27.0,1974,46.0,2017,1.0,1965
03-21,78.0,1995,20.0,1952,43.0,1988,5.0,1955
03-22,74.0,2016,24.0,2002,41.0,1988,-3.0,1952
03-23,79.0,2004,19.0,1965,43.0,2015,5.0,1952
03-24,77.0,2017,18.0,1965,45.0,2004,-3.0,1965
03-25,77.0,1998,14.0,1955,46.0,2004,-1.0,1965
03-26,84.0,1971,27.0,1955,47.0,1956,-4.0,1955
03-27,79.0,2012,21.0,1975,44.0,1998,7.0,1955
03-28,83.0,1963,21.0,1975,45.0,1963,4.0,1975
03-29,79.0,1967,23.0,1987,53.0,1967,7.0,1987
03-30,79.0,1999,25.0,1954,47.0,1999,10.0,1987
03-31,79.0,2010,29.0,1970,51.0,1978,5.0,1954
04-01,82.0,2012,22.0,1975,44.0,2012,10.0,1975
04-02,83.0,2012,31.0,1984,48.0,1950,-2.0,1975
04-03,83.0,2011,27.0,1999,43.0,1985,9.0,1975
04-04,76.0,1967,25.0,1983,45.0,1988,13.0,1968
04-05,82.0,1991,27.0,1983,47.0,2000,12.0,1983
04-06,83.0,1991,28.0,1983,49.0,1991,7.0,1983
04-07,82.0,1978,28.0,1957,46.0,1995,9.0,1957
04-08,77.0,2017,29.0,2007,47.0,2017,5.0,1973
04-09,81.0,1977,27.0,1973,44.0,2019,12.0,1959
04-10,82.0,1996,18.0,2013,53.0,1977,6.0,2013
04-11,80.0,1982,21.0,1997,48.0,1967,7.0,2013
